Rank,Release Group,Worldwide,Domestic,%,Foreign,%
133,Land,"$3,159,730","$2,577,830",81.6%,"$581,900",18.4%
134,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
135,Family Swap,"$3,047,798",-,-,"$3,047,798",100%
136,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
137,French Tech,"$2,863,443",-,-,"$2,863,443",100%
138,Here Today,"$2,807,494","$2,807,494",100%,-,-
139,The Speech,"$2,774,120",-,-,"$2,774,120",100%
140,Recalled,"$2,696,945",-,-,"$2,696,945",100%
141,The Book of Fish,"$2,682,886",-,-,"$2,682,886",100%
142,Presidents,"$2,680,753",-,-,"$2,680,753",100%
143,High Ground,"$2,347,981",-,-,"$2,347,981",100%
144,Roohi,"$2,306,525",-,-,"$2,306,525",100%
145,Operación Camarón,"$2,248,482",-,-,"$2,248,482",100%
146,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
147,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
148,Calamity Jane,"$2,237,596",-,-,"$2,237,596",100%
149,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
150,Honey Lemon Soda,"$2,144,883",-,-,"$2,144,883",100%
151,Catweazle,"$2,127,930",-,-,"$2,127,930",100%
152,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
153,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
154,Sankaku Mado no Sotogawa wa Yoru,"$2,081,564",-,-,"$2,081,564",100%
155,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
156,Supernova,"$2,070,382","$234,220",11.3%,"$1,836,162",88.7%
157,The Ice Road,"$2,041,034",-,-,"$2,041,034",100%
158,Long Story Short,"$2,037,689",-,-,"$2,037,689",100%
159,Mandibles,"$2,018,579",-,-,"$2,018,579",100%
160,June Again,"$1,985,934",-,-,"$1,985,934",100%
161,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
162,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
163,Radhe,"$1,900,312",-,-,"$1,900,312",100%
164,Profile,"$1,763,278","$1,744,740",98.9%,"$18,538",1.1%
165,Boss Level,"$1,747,162",-,-,"$1,747,162",100%
166,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$1,742,715","$1,741,366",99.9%,"$1,349",<0.1%
167,Juega Conmigo,"$1,742,465",-,-,"$1,742,465",100%
168,Queen Bees,"$1,726,853","$1,726,853",100%,-,-
169,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
170,Minamata,"$1,625,709",-,-,"$1,625,709",100%
171,Josep,"$1,592,590",-,-,"$1,592,590",100%
172,French Exit,"$1,573,585","$741,895",47.1%,"$831,690",52.9%
173,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
174,¡A todo tren! Destino Asturias,"$1,518,679",-,-,"$1,518,679",100%
175,Mesh Ana,"$1,514,286",-,-,"$1,514,286",100%
176,The Deep House,"$1,513,425",-,-,"$1,513,425",100%
177,La La Land 2020 Re-release,"$1,499,170",-,-,"$1,499,170",100%
178,El Exorcismo de Carmen Farías,"$1,474,579",-,-,"$1,474,579",100%
179,Together Together,"$1,436,336","$1,436,336",100%,-,-
180,Gyokou no Nikuko-chan,"$1,428,439",-,-,"$1,428,439",100%
181,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
182,Ainbo,"$1,397,880",-,-,"$1,397,880",100%
183,Matky,"$1,351,065",-,-,"$1,351,065",100%
184,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
185,In the Earth,"$1,324,150","$1,113,723",84.1%,"$210,427",15.9%
186,Chacun chez soi,"$1,312,404",-,-,"$1,312,404",100%
187,Home Front,"$1,310,180",-,-,"$1,310,180",100%
188,Cousins,"$1,310,089",-,-,"$1,310,089",100%
189,Roadrunner: A Film About Anthony Bourdain,"$1,290,000","$1,290,000",100%,-,-
190,I Care a Lot,"$1,288,436",-,-,"$1,288,436",100%
191,The Rose Maker,"$1,261,969",-,-,"$1,261,969",100%
192,Abominable 2021 Re-release,"$1,260,243","$110,000",8.7%,"$1,150,243",91.3%
193,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
194,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
195,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
196,Heavily in Love 2,"$1,188,562",-,-,"$1,188,562",100%
197,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
198,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
199,Gekijouban Bang Dream! Episode of Roselia: Promise,"$1,128,578",-,-,"$1,128,578",100%
200,Crisis,"$1,122,326","$404,738",36.1%,"$717,588",63.9%
